BandwidthMbps,ClassifierWorkers,LesionWorkers,VesselWorkers,XAIWorkers,Reviewers,RelativeResourceCost,AnalyticalCapacity,BottleneckOfferedUtilization,P95LatencySeconds,Feasible,EvidencePending,ReviewPending
1,1,1,1,1,1,6,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,1,2,7,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,1,4,9,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,1,8,13,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,1,16,21,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,2,1,7,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,2,2,8,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,2,4,10,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,2,8,14,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,2,16,22,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,4,1,9,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,4,2,10,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,4,4,12,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,4,8,16,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,1,4,16,24,237219.798405296,0.441527777777778,161.969660000002,1,0,0
1,1,1,2,1,1,7,285652.173913043,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,1,2,8,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,1,4,10,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,1,8,14,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,1,16,22,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,2,1,8,285652.173913043,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,2,2,9,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,2,4,11,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,2,8,15,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,2,16,23,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,4,1,10,285652.173913043,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,4,2,11,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,4,4,13,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,4,8,17,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,2,4,16,25,474439.596810591,0.220763888888889,161.969660000002,1,0,0
1,1,1,4,1,1,9,285652.173913043,0.143055555555556,161.969660000002,1,0,0
1,1,1,4,1,2,10,571304.347826087,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,1,4,12,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,1,8,16,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,1,16,24,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,2,1,10,285652.173913043,0.143055555555556,161.969660000002,1,0,0
1,1,1,4,2,2,11,571304.347826087,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,2,4,13,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,2,8,17,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,2,16,25,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,4,1,12,285652.173913043,0.143055555555556,161.969660000002,1,0,0
1,1,1,4,4,2,13,571304.347826087,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,4,4,15,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,4,8,19,853754.940711462,0.126862847222222,161.969660000002,1,0,0
1,1,1,4,4,16,27,853754.940711462,0.126862847222222,161.969660000002,1,0,0
