AnnualPatients,BandwidthMbps,VesselWorkers,Reviewers,AnnualizedCompleted,AnalyticalCapacity,P95LatencySeconds,BottleneckOfferedUtilization,Sustainable,EvidencePending,ReviewPending,Generated
100000,1,1,1,101652.5,237219.798405296,203.719660000002,0.454071180555556,1,0,0,557
100000,1,1,2,101652.5,237219.798405296,168.96477793005,0.454071180555556,1,0,0,557
100000,1,1,4,101652.5,237219.798405296,168.76600902927,0.454071180555556,1,0,0,557
100000,1,1,8,101652.5,237219.798405296,168.76600902927,0.454071180555556,1,0,0,557
100000,1,1,16,101652.5,237219.798405296,168.76600902927,0.454071180555556,1,0,0,557
100000,1,2,1,101652.5,285652.173913043,203.719660000002,0.227035590277778,1,0,0,557
100000,1,2,2,101652.5,474439.596810591,168.96477793005,0.227035590277778,1,0,0,557
100000,1,2,4,101652.5,474439.596810591,168.76600902927,0.227035590277778,1,0,0,557
100000,1,2,8,101652.5,474439.596810591,168.76600902927,0.227035590277778,1,0,0,557
100000,1,2,16,101652.5,474439.596810591,168.76600902927,0.227035590277778,1,0,0,557
100000,1,4,1,101652.5,285652.173913043,203.719660000002,0.14375,1,0,0,557
100000,1,4,2,101652.5,571304.347826087,168.96477793005,0.12941869212963,1,0,0,557
100000,1,4,4,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,4,8,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,4,16,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,8,1,101652.5,285652.173913043,203.719660000002,0.14375,1,0,0,557
100000,1,8,2,101652.5,571304.347826087,168.96477793005,0.12941869212963,1,0,0,557
100000,1,8,4,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,8,8,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,8,16,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,16,1,101652.5,285652.173913043,203.719660000002,0.14375,1,0,0,557
100000,1,16,2,101652.5,571304.347826087,168.96477793005,0.12941869212963,1,0,0,557
100000,1,16,4,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,16,8,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,1,16,16,101652.5,853754.940711462,168.76600902927,0.12941869212963,1,0,0,557
100000,5,1,1,101652.5,237219.798405296,149.469660000002,0.454071180555556,1,0,0,557
100000,5,1,2,101652.5,237219.798405296,129.969660000002,0.454071180555556,1,0,0,557
100000,5,1,4,101652.5,237219.798405296,129.969660000002,0.454071180555556,1,0,0,557
100000,5,1,8,101652.5,237219.798405296,129.969660000002,0.454071180555556,1,0,0,557
