Scenario,Generated,Completed,UngradableExits,PrimaryCompleted,EvidenceCompleted,PrimaryPending,EvidencePending,MeanLatencySeconds,P95LatencySeconds,P99LatencySeconds,AnnualizedThroughput,Bottleneck,BottleneckUtilization,BottleneckOfferedUtilization,Sustainable
BASELINE_RURAL,3918,3918,89,3829,3827,0,2,55.2013640980517,125.969660000002,131.719660000002,102147.857142857,vessel_r2v2,0.457416087962963,0.457416087962963,1
POOR_NETWORK,3918,3918,89,3829,3826,0,3,96.7331634542144,183.519184918492,210.51600902927,102147.857142857,vessel_r2v2,0.457416087962963,0.457416087962963,1
PEAK_LOAD,11591,11591,282,11309,8369,0,2940,57.8576971872451,129.978225426894,184.709419705207,302193.928571429,vessel_r2v2,1,1.35098420965608,0
COMPUTE_CONSTRAINED,3918,3918,89,3829,3827,0,2,64.9579426483264,167.910010165797,238.545058085234,102147.857142857,vessel_r2v2,0.457416087962963,0.457416087962963,1
VESSEL_SCALE_UP,11591,11591,282,11309,11308,0,1,57.8576971872451,129.978225426894,184.709419705207,302193.928571429,human_review,0.224652777777778,0.224652777777778,1
REVIEW_SCALE_UP,11591,11591,282,11309,8369,0,2940,56.2733491647146,125.969660000002,131.719660000002,302193.928571429,vessel_r2v2,1,1.35098420965608,0
OPTIMIZED,3918,3918,89,3829,3827,0,2,52.6360758860238,123.569660000037,126.91966,102147.857142857,vessel_r2v2,0.457416087962963,0.457416087962963,1
