AnnualTarget,AnalyticalCapacity,Sustainable,HorizonPrimaryPathSustainable,AnnualizedCompleted,PrimaryPending,EvidencePending,BottleneckOfferedUtilization
100000,237219.798405296,1,0,102877.857142857,1,2,0.460641534391534
125000,237219.798405296,1,1,128323.571428571,0,0,0.575085152116402
150000,237219.798405296,1,1,154134.285714286,0,0,0.691201223544974
200000,237219.798405296,1,0,204295.714285714,0,4,0.914832175925926
